id,college_name,university_id,affiliation,status,domain_name
369,"Crescent Institute Of Management Studies, Anantapur",19,Affiliated College,1,
370,"Csird Institute Of Management, Gooty",19,Affiliated College,1,
371,"Cssr & Srrm Degree College, Kadapa",28,Affiliated College,1,
372,"Cssr & Srrm Degree College, Kamalapuram",28,Affiliated College,1,
373,"Cvlnr Institute Of Management & Science, Anantapur",19,Affiliated College,1,
374,"Cvrm Degree College Shanthipuram Chittoor District, Tirupathy",23,Affiliated College,1,
375,"Cvrm Degree College, Ramakuppam",23,Affiliated College,1,
376,"Cvrrm Degree College, V.Kota Rural",23,Affiliated College,1,
377,"Cvs Krishna Teja College Of Education, Renigunta Road",23,Affiliated College,1,
378,"D J R College Of Engineering & Technology, Djr Nagar",12,Affiliated College,1,
379,"D.A.R. College, Machhlipattanam",14,Affiliated College,1,
380,"D.B.K.Arts & Science Degree College, Visakhapatnam",4,Affiliated College,1,
