id,university_name,university_type,website,country_id
54,"All India Institute Of Medical Sciences, Patna",Institute of National Importance,http://www.aiimspatna.org,99
55,"Aryabhatta Knoweledge University , Patna",State Public University,www.akubihar.ac.in,99
56,"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",State Public University,brabu.net,99
57,"Bhupendra Narayan Mandal University, Madhepura",State Public University,www.bnmuniversity.com,99
58,"Bihar Agriculture University, Sabour",State Public University,bausabour,99
59,"Central University Of Bihar, Patna",Central University,www.cub.ac.in,99
60,"Chankaya National Law University, Patna",State Public University,www.cnlu.ac.in,99
61,"Indian Institute Of Technology, Patna",Institute of National Importance,http://www.iitp.ac.in,99
62,"Indira Gandhi Institute Of Medical Sciences, Patna",Institute under State Legislature Act,www.igims.org,99
63,"Jai Prakash Vishwavidyalaya, Chapra",State Public University,www.jpv.bih.nic.in,99
